X,Y
3.310639,0.281214
-0.370663,0.360411
1.619894,-0.140821
3.192755,1.285527
2.711313,0.856378
1.737036,0.140713
3.430431,0.967429
2.631564,0.192512
2.08822,0.483352
3.657107,1.870385
3.137823,1.397844
2.386519,-0.009387
2.154801,1.02946
2.409522,1.053755
2.580286,0.280138
2.742576,1.805836
2.627337,0.89742
4.545234,1.704923
2.690086,1.813635
2.97976,-0.470134
2.31641,-0.31098
3.784247,0.206682
3.420732,-0.326546
2.782367,1.819195
2.010432,1.454171
2.890203,1.659807
2.457583,1.26972
3.205295,1.56545
3.267268,0.080446
3.296196,0.473915
5.037613,1.070298
1.324688,-0.745397
2.830719,1.636983
3.677476,0.365107
2.464861,0.880369
2.203546,1.055842
3.324283,1.387435
2.504886,2.046183
2.023331,0.364293
1.033095,2.368803
3.67033,-0.400627
2.790542,1.663288
1.748414,-1.152849
2.744866,1.393512
3.318884,1.068933
2.992982,1.63917
1.099878,1.517983
2.168307,0.40374
3.638249,1.197544
3.182629,0.668907
2.69311,1.064531
2.909182,2.428816
3.155511,0.370869
2.776826,0.859543
3.110724,0.803779
4.210438,-0.125074
3.529838,1.45162
3.007055,1.151262
2.491616,2.197275
1.697712,1.587279
4.635418,0.872419
2.487469,0.157532
3.035304,2.360425
2.609641,2.518646
2.409234,1.134706
4.036756,1.636648
3.744499,1.261763
2.705667,-0.582097
2.6284,1.893867
2.019579,1.584604
2.381169,0.487549
2.064118,-0.577974
2.659061,0.70729
2.696664,1.621984
2.677492,0.824331
1.818945,0.334079
0.453049,-0.213829
4.438446,0.364178
2.487832,-1.062677
2.637787,0.680437
3.827495,-0.012864
2.774084,1.687352
4.141102,1.768845
3.05173,2.698721
3.74642,1.89329
2.096668,0.94671
3.891391,1.310007
2.139678,-0.460623
4.620421,2.902345
3.187261,1.610968
3.94155,0.800291
2.341235,0.033006
3.507346,1.647498
3.057964,1.949023
2.593029,1.723646
1.715506,1.531299
2.987484,0.958195
1.322809,-0.38824
4.078567,-0.187855
4.189991,1.106684
1.8812,0.581396
4.022908,-0.948322
2.619951,1.317766
3.314667,1.83411
3.539137,1.152489
3.175254,1.539013
3.147197,1.460867
3.442099,-0.014347
1.90874,-0.609408
2.780172,0.998271
1.152253,1.534921
2.693282,1.878802
4.151015,1.524684
2.695998,0.074128
3.95441,0.014473
3.852745,-0.699947
1.256043,-0.933913
2.499037,0.607586
3.758631,1.063197
2.270864,-0.909121
3.120222,0.969903
2.313677,1.395412
2.548205,1.298907
2.66606,-2.13596
2.068971,1.608065
2.960901,1.926044
1.408046,-0.522085
4.425738,0.473305
0.776465,-0.158343
1.317053,1.494807
4.842461,0.717544
1.357195,0.708673
2.337077,0.963219
3.341651,2.920528
2.561502,2.734087
1.627338,2.026287
2.580538,2.652715
3.785066,-0.054647
3.555192,0.435356
2.434724,0.847434
2.585935,1.701658
3.18377,1.606096
3.568727,3.045399
1.323514,1.211039
4.851969,2.575419
3.250623,1.347601
1.960317,1.4397
2.757071,2.782478
3.258168,2.591932
2.315214,0.586187
7.060309,4.86431
7.761394,3.782863
6.477665,4.909944
6.535325,4.135474
7.836472,5.344173
6.097426,5.581074
6.832947,4.640652
6.586462,3.814331
7.415785,5.317557
8.985973,4.997843
4.711792,6.761611
5.760418,3.916334
8.539897,4.969536
7.986987,5.494372
6.625181,5.950738
6.791722,3.832888
7.482297,4.963055
7.426915,5.523715
6.4595,5.597808
7.434042,5.724476
6.449702,4.115848
7.684645,6.688002
5.86007,4.918615
6.937963,4.453898
7.705564,3.884069
7.662143,5.87309
6.283738,5.810955
7.86823,5.658976
9.078283,5.659113
6.511776,4.297631
7.145324,6.168685
8.161883,5.26036
7.319863,6.612641
4.768033,3.983789
6.609356,4.766789
6.985927,5.806865
7.930989,5.956793
7.308481,4.28634
8.830539,6.076641
7.8322,4.437748
5.776727,3.434319
7.862935,4.881367
8.882593,4.387705
6.084944,4.965996
8.334233,3.872169
8.099071,4.761278
6.366969,5.764169
6.95747,3.200324
8.183809,5.417022
5.804748,6.6358
8.215163,3.097334
7.913671,5.951178
7.066725,3.556206
6.606131,5.402535
7.631403,3.153398
5.953423,4.301016
4.506524,5.660932
6.705848,1.957335
6.336085,4.962775
7.443754,4.269388
7.336627,3.943098
8.287793,3.101298
4.554172,4.557236
6.96177,5.921382
7.117159,3.621161
7.060705,4.717246
8.711512,4.875188
7.669808,5.835609
8.087844,5.73166
6.21128,4.292826
7.388543,4.419968
7.818143,6.324321
7.037511,4.911018
8.012227,4.589892
8.312442,4.834717
8.979568,4.338127
6.53939,4.651589
7.065244,4.33343
5.642315,4.903945
6.815172,4.646706
8.299651,5.204455
5.894596,2.995488
7.984401,5.423236
8.345638,6.862149
9.024793,4.434081
7.336508,3.909386
7.380495,4.494121
6.958767,5.824162
7.878323,6.353266
8.212149,5.076107
6.249378,5.254134
5.820195,5.064068
7.298259,5.143205
6.708124,6.081335
6.776202,6.536847
6.833518,4.06158
7.490375,3.365083
6.79163,2.580487
8.668576,3.930233
7.123033,6.907426
5.870021,4.595131
7.754703,7.705384
7.691897,4.51215
6.862165,5.060399
8.287931,4.017869
6.537765,6.202322
7.438931,5.532916
7.931295,4.285938
6.55218,3.959039
6.69559,5.1475
8.162642,5.343078
7.98303,4.668482
6.822109,6.218664
4.849692,5.685613
7.148204,5.769295
7.946935,6.862101
7.062828,6.440676
6.707726,4.771346
8.604449,4.437633
6.179453,4.369916
7.593205,3.946675
7.186674,5.396578
8.090573,4.983667
7.234006,5.336778
6.977282,5.475793
6.668191,5.274379
6.032501,6.77026
8.162705,3.780322
5.890029,4.637503
5.670718,6.464141
8.719162,4.655266
9.01031,5.103922
6.551567,6.037155
8.764329,3.944491
7.204423,5.71233
7.634641,7.376947
7.629313,6.990364
8.471141,6.246043
7.548046,5.190975
6.969322,3.426956
8.957736,4.425711
8.373213,3.713591
6.372987,5.608415
6.137852,5.730102
8.406818,6.921406
7.592577,5.250978
7.821045,3.601985
7.271885,4.515308
7.396093,4.332798
7.027013,4.416009
8.01515,4.515771
5.491751,4.492871
7.403444,5.646255
6.603699,3.747
6.25436,2.996902
8.185314,5.248101
8.363771,5.238321
8.596716,3.69405
7.331149,5.578556
6.884947,3.519222
7.135424,6.124954
6.910246,3.93466
7.102465,5.448475
6.510259,5.205919
7.501618,3.579932
7.346994,5.262374
5.578356,3.833048
5.438857,5.456805
7.337737,5.813684
6.806983,4.604993
7.394637,6.110939
6.733736,5.417255
8.505522,5.320183
6.925903,5.773149
7.394553,4.869339
6.612312,3.595296
6.72837,5.154141
6.56137,5.591999
7.177298,5.216671
7.282283,3.037723
7.66639,5.271239
6.832815,5.682326
8.060397,4.198593
7.34862,4.485902
6.833743,4.338276
8.176821,7.120444
6.712802,3.841437
6.639555,6.475817
7.68541,7.346383
6.130456,3.527133
6.192723,4.747051
7.516919,7.550125
7.654155,5.771601
7.680607,5.909778
7.042076,4.833367
6.811803,4.69951
